hex,last_seen,alt_first,alt_last,baro_rate_med,gs_avg,lat_last,lon_last,track_last,flight,category,rssi_last,nac_p_last,dist_km,bearing,hdg_diff,phase,target_time,state
4baace,2026-02-18 08:47:46.854235,23425.0,12100.0,-1152.0,309.2,41.211812,28.918325,208.4,THY2SM,A3,-14.9,9.0,47.82395401383493,136.61087126076802,71.78912873923198,ARRIVAL,2026-02-18 08:58:17.988568332,"[47.82, 12100.0, 309.2, 71.8, -1152.0, 3, -14.9]"
4baad4,2026-02-18 08:26:39.970312,25550.0,8925.0,-1024.0,263.0,40.898888,29.191673,275.0,THY2KX,A3,-13.4,9.0,9.878038854142199,90.14727658155806,175.14727658155806,ARRIVAL,2026-02-18 08:35:23.851530750,"[9.88, 8925.0, 263.0, 175.1, -1024.0, 3, -13.4]"
4baad5,2026-02-18 06:23:58.305895,25150.0,14700.0,-960.0,359.0,41.086633,29.369826,336.0,THY4ZQ,A3,-13.6,9.0,21.51855816505467,193.6976400693731,142.3023599306269,ARRIVAL,2026-02-18 06:39:17.988895000,"[21.52, 14700.0, 359.0, 142.3, -960.0, 3, -13.6]"
4bab21,2026-02-17 18:42:40.677075,22275.0,14450.0,-960.0,357.4,41.10409,29.400413,329.2,THY2TA,A3,-14.1,9.0,24.097452316747816,198.550475478895,130.64952452110498,ARRIVAL,2026-02-17 18:57:43.811074998,"[24.1, 14450.0, 357.4, 130.6, -960.0, 3, -14.1]"
4bab28,2026-02-17 19:16:14.804746,23000.0,15050.0,-1024.0,278.2,41.211998,29.568266,290.8,THY1JA,A3,-16.3,9.0,41.064170952305744,212.02234670778748,78.77765329221253,ARRIVAL,2026-02-17 19:30:56.656683500,"[41.06, 15050.0, 278.2, 78.8, -1024.0, 3, -16.3]"
4bab29,2026-02-17 18:57:10.430461,22450.0,15025.0,-1280.0,327.8,41.104323,29.406717,328.3,THY7YK,A3,-14.2,9.0,24.29506434337891,199.71617427395762,128.5838257260424,ARRIVAL,2026-02-17 19:08:54.744336000,"[24.3, 15025.0, 327.8, 128.6, -1280.0, 3, -14.2]"
4bab2a,2026-02-18 05:36:16.595037,24975.0,14725.0,-1152.0,358.0,,,327.0,THY660,A3,-16.3,0.0,,,180.0,ARRIVAL,2026-02-18 05:49:03.540120336,"[50.0, 14725.0, 358.0, 180.0, -1152.0, 3, -16.3]"
4bab2d,2026-02-17 18:04:32.357556,24150.0,16450.0,-896.0,322.9,41.024206,29.316143,325.5,THY2NS,A3,-11.7,9.0,13.978912301152084,182.39251549179346,143.10748450820654,ARRIVAL,2026-02-17 18:22:53.941056000,"[13.98, 16450.0, 322.9, 143.1, -896.0, 3, -11.7]"
4bab2f,2026-02-18 00:45:50.319550,16300.0,14375.0,-64.0,379.7,41.232193,29.589661,305.8,THY4RY,A3,-17.8,9.0,43.918148838171184,212.46182075001906,93.33817924998095,ARRIVAL,2026-02-18 01:14:35.342550000,"[43.92, 14375.0, 379.7, 93.3, -64.0, 3, -17.8]"
4bab46,2026-02-17 19:48:01.042491,31375.0,15125.0,-1856.0,352.8,41.161514,29.442261,318.4,THY6GP,A3,-15.0,9.0,31.2928629958081,200.93980236905827,117.4601976309417,ARRIVAL,2026-02-17 19:56:10.043232382,"[31.29, 15125.0, 352.8, 117.5, -1856.0, 3, -15.0]"
4bab4e,2026-02-17 18:26:04.628286,19800.0,2825.0,-1088.0,161.9,40.937107,29.44467,244.4,TKJ37F,A3,-15.6,9.0,12.161470759692104,249.42992578668589,5.0299257866858795,ARRIVAL,2026-02-17 18:28:40.472727174,"[12.16, 2825.0, 161.9, 5.0, -1088.0, 3, -15.6]"
4bab52,2026-02-18 05:45:43.098456,3975.0,2675.0,-960.0,140.0,40.942795,29.429688,244.2,TKJ7CD,A3,-18.6,9.0,11.253223902370337,244.14608687936973,0.05391312063025566,ARRIVAL,2026-02-18 05:48:30.343955998,"[11.25, 2675.0, 140.0, 0.1, -960.0, 3, -18.6]"
4bab54,2026-02-18 05:58:23.827763,34000.0,31550.0,-64.0,449.3,40.512225,30.547797,92.0,TKJ1YL,A3,-19.2,9.0,112.89877871069464,292.77016196387586,159.22983803612414,ARRIVAL,2026-02-18 07:01:29.887763000,"[112.9, 31550.0, 449.3, 159.2, -64.0, 3, -19.2]"
4bab55,2026-02-17 16:57:02.544657,18975.0,7000.0,-1792.0,220.0,,,230.3,TKJ4YB,A3,-14.9,0.0,,,180.0,ARRIVAL,2026-02-17 17:00:56.980657000,"[50.0, 7000.0, 220.0, 180.0, -1792.0, 3, -14.9]"
4bae44,2026-02-17 18:47:23.905304,20875.0,5700.0,-1088.0,221.8,41.078626,29.16583,296.2,TCKRD,A3,-13.3,10.0,23.35654630440308,148.9410635391265,147.25893646087349,ARRIVAL,2026-02-17 18:52:39.055539292,"[23.36, 5700.0, 221.8, 147.3, -1088.0, 3, -13.3]"
4baf21,2026-02-17 19:12:23.407050,4025.0,2475.0,-416.0,167.3,40.935883,29.41095,243.7,TCKYA,A2,-16.4,10.0,9.501664317965998,244.16458757139236,0.4645875713923715,ARRIVAL,2026-02-17 19:17:20.440050000,"[9.5, 2475.0, 167.3, 0.5, -416.0, 2, -16.4]"
4bb027,2026-02-18 09:06:12.839309,4000.0,5500.0,-704.0,257.9,40.945816,29.658386,85.3,TKJ17D,A3,-24.6,10.0,29.804250345203194,259.9685007767998,174.66850077679976,ARRIVAL,2026-02-18 09:14:01.884309000,"[29.8, 5500.0, 257.9, 174.7, -704.0, 3, -24.6]"
4bb02b,2026-02-18 04:06:57.291348,12900.0,2700.0,-1024.0,120.3,40.937668,29.415649,243.9,TKJ6701,A3,-17.5,0.0,9.94342808818083,244.12938599506518,0.2293859950651722,ARRIVAL,2026-02-18 04:09:38.259324932,"[9.94, 2700.0, 120.3, 0.2, -1024.0, 3, -17.5]"
