hex,last_seen,alt_first,alt_last,baro_rate_med,gs_avg,lat_last,lon_last,track_last,flight,category,rssi_last,nac_p_last,dist_km,bearing,hdg_diff,phase,target_time,state
4bc887,2026-02-18 08:47:41.847423,4075.0,4300.0,1344.0,398.2,40.166107,29.660767,171.6,PGT388R,A3,-13.6,9.0,86.69932904755767,340.0726929532965,168.4726929532965,DEPARTURE,2026-02-18 08:44:10.418137286,"[86.7, 4300.0, 398.2, 168.5, 1344.0, 3, -13.6]"
4bc889,2026-02-18 07:12:12.360589,4025.0,29725.0,1216.0,411.7,40.121979,29.668823,171.3,PGT2036,A3,-17.1,9.0,91.55155579031431,340.72146001115317,169.42146001115316,DEPARTURE,2026-02-18 06:47:26.203510052,"[91.55, 29725.0, 411.7, 169.4, 1216.0, 3, -17.1]"
4bc88b,2026-02-18 08:46:36.758353,1425.0,29000.0,1024.0,429.0,40.606567,30.828735,105.7,PGT90U,A3,-18.3,9.0,132.04959263284798,284.73069667721404,179.03069667721405,DEPARTURE,2026-02-18 08:17:58.078603000,"[132.05, 29000.0, 429.0, 179.0, 1024.0, 3, -18.3]"
4bc88c,2026-02-18 07:20:39.558012,4000.0,4025.0,1408.0,151.6,40.615128,30.385864,244.6,PGT92UY,A3,-17.0,9.0,96.00699777721675,289.5173511232117,44.917351123211716,DEPARTURE,2026-02-18 07:17:28.578125638,"[96.01, 4025.0, 151.6, 44.9, 1408.0, 3, -17.0]"
4bc88e,2026-02-18 08:58:46.254703,4075.0,26950.0,1472.0,437.6,40.655548,30.416382,96.3,PGT84V,A3,-15.3,9.0,97.06564478110437,286.52756420914886,169.77243579085115,DEPARTURE,2026-02-18 08:40:08.291268220,"[97.07, 26950.0, 437.6, 169.8, 1472.0, 3, -15.3]"
4bc890,2026-02-18 07:48:31.682840,1375.0,31875.0,1728.0,456.0,40.522001,30.363714,102.0,PGT8CM,A3,-18.0,9.0,98.25225348705172,295.57012962786547,166.42987037213453,DEPARTURE,2026-02-18 07:29:45.456006664,"[98.25, 31875.0, 456.0, 166.4, 1728.0, 3, -18.0]"
4bc893,2026-02-18 07:12:56.374492,1350.0,26625.0,1408.0,404.6,39.975586,29.78302,141.1,PGT1914,A3,-17.3,9.0,110.1897341388476,338.8121340822496,162.2878659177504,DEPARTURE,2026-02-18 06:53:42.333423816,"[110.19, 26625.0, 404.6, 162.3, 1408.0, 3, -17.3]"
4bc894,2026-02-18 06:24:53.329790,6700.0,30075.0,1088.0,436.3,39.751747,30.395996,138.3,PGT20YM,A3,-18.8,9.0,157.320023435909,324.50377695994956,173.79622304005045,DEPARTURE,2026-02-18 05:56:55.329995882,"[157.32, 30075.0, 436.3, 173.8, 1088.0, 3, -18.8]"
4bc896,2026-02-18 08:41:55.510239,4050.0,29025.0,1792.0,469.5,40.647263,30.513306,95.9,PGT31QC,A3,-16.1,9.0,105.17576103222115,285.8022765159072,170.09772348409282,DEPARTURE,2026-02-18 08:25:24.241042574,"[105.18, 29025.0, 469.5, 170.1, 1792.0, 3, -16.1]"
4bc899,2026-02-18 07:40:10.397404,1200.0,28975.0,1472.0,413.6,40.532987,30.566774,112.2,PGT68A,A3,-17.7,9.0,113.51727956976667,291.39469978160844,179.19469978160845,DEPARTURE,2026-02-18 07:20:09.904208346,"[113.52, 28975.0, 413.6, 179.2, 1472.0, 3, -17.7]"
4bc89a,2026-02-18 09:06:24.849282,1275.0,14475.0,-64.0,283.25,40.820121,30.423764,128.6,PGT867L,A3,-14.6,9.0,94.1380534156558,275.6832541238693,147.0832541238693,DEPARTURE,2026-02-18 08:37:08.403282000,"[94.14, 14475.0, 283.2, 147.1, -64.0, 3, -14.6]"
4bc8c4,2026-02-18 08:37:29.432740,4000.0,12000.0,0.0,135.5,40.933914,29.435974,244.2,PGT605,A3,-15.4,9.0,11.35306562491992,249.80632911668224,5.606329116682247,DEPARTURE,2026-02-18 08:13:10.028740000,"[11.35, 12000.0, 135.5, 5.6, 0.0, 3, -15.4]"
4bc8c5,2026-02-18 08:20:31.765737,4775.0,14125.0,1408.0,340.0,40.851196,29.177368,344.2,PGT1191,A3,-14.5,9.0,12.273790437336437,64.52367493952198,80.323674939522,DEPARTURE,2026-02-18 08:10:10.445123363,"[12.27, 14125.0, 340.0, 80.3, 1408.0, 3, -14.5]"
4bc8c6,2026-02-18 08:44:16.572342,9850.0,23075.0,1216.0,409.3,40.067688,29.597656,152.5,PGT850X,A3,-17.0,9.0,95.55959245433539,345.30235800053055,167.19764199946945,DEPARTURE,2026-02-18 08:24:58.601263052,"[95.56, 23075.0, 409.3, 167.2, 1216.0, 3, -17.0]"
4bc8ca,2026-02-18 08:11:19.428054,1225.0,1900.0,1600.0,120.0,40.91803,29.392761,244.3,PGT2735,A3,-15.0,9.0,7.347024090402446,252.92576398508214,8.62576398508213,DEPARTURE,2026-02-18 08:09:48.780054000,"[7.35, 1900.0, 120.0, 8.6, 1600.0, 3, -15.0]"
4bc8cd,2026-02-18 07:00:32.593159,1275.0,3675.0,1088.0,141.8,40.950394,29.481079,243.6,PGT38SE,A3,-16.7,9.0,15.54666602950935,248.31307264231987,4.713072642319872,DEPARTURE,2026-02-18 06:56:50.532717826,"[15.55, 3675.0, 141.8, 4.7, 1088.0, 3, -16.7]"
4bc8d0,2026-02-18 08:13:23.466079,1875.0,2725.0,64.0,122.1,40.933522,29.43487,244.3,PGT223B,A3,-15.0,9.0,11.250982613804029,249.85090300795832,5.550903007958311,DEPARTURE,2026-02-18 08:07:37.074079000,"[11.25, 2725.0, 122.1, 5.6, 64.0, 3, -15.0]"
4bc8d2,2026-02-18 06:35:37.642884,3525.0,31825.0,1920.0,433.6,40.598694,30.863831,105.9,PGT36XZ,A3,-18.8,9.0,135.13779646061778,284.7928108672148,178.89281086721482,DEPARTURE,2026-02-18 06:18:43.721634002,"[135.14, 31825.0, 433.6, 178.9, 1920.0, 3, -18.8]"
4bc8d3,2026-02-18 06:41:51.880213,1200.0,3225.0,640.0,142.7,40.950119,29.480286,243.8,PGT90D,A3,-18.8,9.0,15.473482020189136,248.3266358962255,4.526635896225486,DEPARTURE,2026-02-18 06:36:30.147463000,"[15.47, 3225.0, 142.7, 4.5, 640.0, 3, -18.8]"
4bc8d5,2026-02-18 09:01:44.466026,4000.0,4450.0,960.0,209.0,40.871521,29.232544,245.4,PGT5ZR,A3,-8.7,9.0,7.112924341689032,64.93050824944828,179.53050824944827,DEPARTURE,2026-02-18 08:56:46.954025998,"[7.11, 4450.0, 209.0, 179.5, 960.0, 3, -8.7]"
4bca66,2026-02-18 06:39:36.845514,1375.0,27000.0,2368.0,376.6,40.633028,30.482316,100.7,RHH505,A2,-18.6,10.0,103.11462313745581,287.0238125329966,173.6761874670034,DEPARTURE,2026-02-18 06:27:52.737892380,"[103.11, 27000.0, 376.6, 173.7, 2368.0, 2, -18.6]"
4bca67,2026-02-18 07:11:54.355261,1400.0,1800.0,1984.0,139.5,40.711282,30.252852,243.6,RHH065,A2,-20.8,10.0,82.11029411485875,285.002637341603,41.402637341603025,DEPARTURE,2026-02-18 07:10:39.934777130,"[82.11, 1800.0, 139.5, 41.4, 1984.0, 2, -20.8]"
4bcdb6,2026-02-18 08:05:39.318295,35975.0,38000.0,0.0,438.6,41.722257,30.109054,302.2,SXS5PN,A3,-18.4,9.0,113.36184855571446,216.37307285220012,85.82692714779986,DEPARTURE,2026-02-18 06:49:20.180295000,"[113.36, 38000.0, 438.6, 85.8, 0.0, 3, -18.4]"
4c01e5,2026-02-17 17:59:30.155784,,,1920.0,352.1,41.362268,28.788362,295.0,ASL57H,A3,-14.8,8.0,67.53534133856355,139.59437040071657,155.40562959928343,DEPARTURE,2026-02-17 17:43:32.876784000,"[67.54, 10000.0, 352.1, 155.4, 1920.0, 3, -14.8]"
4caeaf,2026-02-18 01:39:09.651960,1350.0,17450.0,1920.0,376.0,41.093079,29.362061,302.0,NOS9022,A3,-15.6,11.0,22.07544582762903,191.61067734160807,110.38932265839193,DEPARTURE,2026-02-18 01:29:44.794459998,"[22.08, 17450.0, 376.0, 110.4, 1920.0, 3, -15.6]"
5001e5,2026-02-18 09:06:24.849282,32000.0,33775.0,704.0,467.4,40.621436,29.205468,325.5,MEA235,A3,-14.3,9.0,32.03367112296462,15.793403804294257,50.29340380429426,DEPARTURE,2026-02-18 08:18:06.663145638,"[32.03, 33775.0, 467.4, 50.3, 704.0, 3, -14.3]"
